site_no,No.Iso.Node,Sp.Richness,Basal,Predator,No.Link,Link.Density,Connectance,Nic.over.Con.Jac,Mean.Gen,Mean.TL,Omnivory,Coherence,Skew.Degree,Nestedness,Modularity,Size.Cluster.BG,Frac.Cluster.BG,Mean.ShortestPath,Basal.rand,Predator.rand,Skew.Degree.rand,Nic.over.Con.Jac.rand,Mean.Gen.rand,Mean.TL.rand,Omnivory.rand,Coherence.rand,Nestedness.rand,Modularity.rand,Size.Cluster.BG.rand,Frac.Cluster.BG.rand,Mean.ShortestPath.rand
37,1,96,48,47,816,8.5,0.088541667,0.149353109,7.771428571,2.245528112,0.310242331,0.524833031,1.30095336,26.91587337,0.283929286,62.54,0.651458333,2.764539931,0,96,0.20015646,0.042107114,7.771428571,9.675648286,2.524570996,2.808061934,7.935298549,0.210414499,28.06,0.292291667,1.914496528
38,1,92,46,43,846,9.195652174,0.099952741,0.148555301,8.376237624,2.213999559,0.310372398,0.519931821,1.001702705,27.92979131,0.258293652,47.94,0.521086957,2.588610586,0,92,-0.448133673,0.048091397,8.376237624,10.98303543,2.71697493,3.097713144,8.710868065,0.196582628,25.12,0.273043478,1.856805293
39,0,82,40,39,751,9.158536585,0.111689471,0.155747359,8.163043478,2.229633074,0.319882247,0.542061941,0.839838156,28.94779854,0.264475028,47.29,0.576707317,2.576740036,0,82,-0.374794417,0.054017465,8.163043478,7.354597258,2.233643723,2.317993728,9.717858636,0.198238965,22.85,0.278658537,1.829863177
40,1,88,51,34,621,7.056818182,0.080191116,0.160075168,6.402061856,2.132149133,0.258133419,0.468002424,1.487581484,25.99311118,0.303100085,46.51,0.528522727,3.004907025,0,87,0.0075532,0.038462294,6.402061856,8.808674093,2.497468863,2.772137974,6.961928363,0.23410792,23.47,0.266704545,1.99018595
41,1,91,46,42,811,8.912087912,0.097935032,0.143925171,8.11,2.216573658,0.299750909,0.543390526,1.031874043,28.49239349,0.279349275,49.2,0.540659341,2.627943485,0,91,0.05718392,0.046336591,8.11,10.90584421,2.85902484,3.215612044,9.209783286,0.197634472,18.96,0.208351648,1.871030069
42,1,101,49,50,855,8.465346535,0.083815312,0.13756933,7.772727273,2.272195171,0.305895651,0.511312849,1.121867108,24.81879887,0.277585797,56.32,0.557623762,2.885207333,0,101,-0.470250821,0.039995862,7.772727273,12.64574087,2.917692629,3.341879463,7.694383019,0.20999641,27.22,0.26950495,1.913537888
43,0,104,54,48,999,9.605769231,0.092363166,0.143319145,8.763157895,2.248206179,0.308592011,0.532061916,1.066310695,28.97372217,0.25593895,48.83,0.469519231,2.521264793,0,104,-0.311390022,0.044561971,8.763157895,11.10749135,2.728169843,3.070082123,8.206280697,0.202247913,29.95,0.287980769,1.874815089
44,1,90,48,41,747,8.3,0.092222222,0.15395591,7.545454545,2.240963935,0.28226305,0.51259011,1.239897638,27.96264691,0.298328606,53.12,0.590222222,3.115308642,0,90,-0.125444052,0.044027473,7.545454545,9.966909555,2.575894272,2.833729288,8.353937143,0.211114108,27.47,0.305222222,1.905925926
45,1,67,30,35,527,7.865671642,0.117398084,0.151332582,6.934210526,2.196846225,0.355342648,0.538044128,1.058433255,26.97684184,0.267968856,38.25,0.570895522,2.714190243,0,67,-0.252972758,0.053734602,6.934210526,7.252905182,2.142972236,2.381052769,10.34264181,0.222481478,17.73,0.264626866,1.834707062
46,0,107,55,50,986,9.214953271,0.086121059,0.148550631,8.427350427,2.256300152,0.314202599,0.523509063,1.094059533,27.70362343,0.285673921,57.21,0.534672897,2.805834571,0,107,-0.249201308,0.040812977,8.427350427,10.83380647,2.786612541,2.973671668,8.080410743,0.189186933,27.78,0.259626168,1.899903922
47,1,94,52,39,697,7.414893617,0.078881847,0.15314917,6.766990291,2.168781839,0.283695207,0.523571194,1.617438822,26.70789533,0.282482693,47.82,0.508723404,2.923721141,0,94,0.11323843,0.036482299,6.766990291,9.344477265,2.634849909,2.871104866,7.058363459,0.236897778,22.55,0.239893617,1.996831145
48,1,95,53,39,771,8.115789474,0.085429363,0.154961644,7.413461538,2.154717696,0.285276228,0.512128243,1.311076133,27.73576646,0.278806775,51.87,0.546,3.053518006,0,95,-0.18633463,0.039506163,7.413461538,10.60388156,2.580722963,2.952662815,7.505097125,0.215691669,26.28,0.276631579,1.922437673
49,0,95,52,40,910,9.578947368,0.100831025,0.157158358,8.666666667,2.175644927,0.290738824,0.520170448,0.970538808,28.5335933,0.270637143,48.52,0.510736842,2.698504155,0,95,-0.127754348,0.045929004,8.666666667,9.233743866,2.691741063,2.808901367,8.497268897,0.193095443,32.46,0.341684211,1.864819945
50,1,80,48,29,531,6.6375,0.08296875,0.16751643,5.966292135,2.09988146,0.257031942,0.463639755,1.525346461,26.2612252,0.292662862,48.37,0.604625,2.7515625,0,80,-0.124631496,0.040661988,5.966292135,8.056941985,2.330419473,2.431499718,7.590270961,0.256071055,20.77,0.259625,2.00125
51,1,85,43,40,705,8.294117647,0.097577855,0.158737969,7.5,2.234528523,0.307715946,0.516296825,1.031890686,28.34659458,0.263569508,48.51,0.570705882,2.824083045,0,85,-0.659896644,0.047136365,7.5,10.04330915,2.713142191,2.974287193,8.701276291,0.201266321,23.7,0.278823529,1.869065744
52,0,93,47,43,796,8.559139785,0.092033761,0.148290629,7.72815534,2.204716902,0.297524281,0.541372404,0.941894942,26.20301546,0.27556334,49.86,0.536129032,2.87802058,0,93,-0.063376133,0.042448214,7.72815534,9.610545411,2.626357643,2.921639948,8.04769347,0.208144061,30.81,0.331290323,1.909584923
53,1,106,52,51,1044,9.849056604,0.092915628,0.145682879,9.07826087,2.26682411,0.313919954,0.53490525,1.000057758,28.59502532,0.271682499,58.6,0.552830189,2.470630117,0,106,-0.347133245,0.04423697,9.07826087,12.57831797,3.008580905,3.360756944,8.843160598,0.193357353,30.25,0.285377358,1.877180491
54,1,93,52,38,762,8.193548387,0.088102671,0.153907626,7.470588235,2.158426087,0.289858156,0.512734395,1.372972805,27.52408879,0.304197785,49.6,0.533333333,2.598450688,0,93,-0.077403777,0.043202428,7.470588235,9.722223338,2.612686138,2.901503555,8.290737512,0.218135953,26.41,0.283978495,1.942189849
